,Price,Number of Users
0,0.6,1
1,0.41,2
2,1.07,1
3,0.76,1
4,0.53,4
5,0.92,1
6,0.56,3
7,0.22,19
8,1.03,1
9,1.19,0
10,0.26,8
11,0.83,1
12,1.52,0
13,0.51,1
14,0.29,21
15,1.35,0
16,0.32,20
17,1.18,0
18,0.99,2
19,0.7,0
20,0.42,2
21,0.47,2
22,0.77,1
23,0.45,0
24,0.33,16
25,0.43,3
26,1.2,1
27,0.91,0
28,1.74,1
29,0.48,1
30,1.92,1
31,1.96,0
32,1.68,0
33,0.4,1
34,0.61,1
35,1.3,0
36,,1230
37,0.86,1
38,0.3,6
39,1.17,1
40,0.36,4
41,0.52,3
42,1.37,1
43,0.38,3
44,0.85,0
45,0.49,0
46,0.19,15
47,0.23,11
48,1.33,1
49,1.83,0
50,0.95,0
51,0.2,14
52,1.7,0
53,0.35,9
54,0.55,3
55,0.84,1
56,1.73,0
57,2.11,0
58,0.62,1
59,0.25,8
60,1.72,4
61,0.81,0
62,0.27,15
63,1.69,0
64,0.57,0
65,0.21,25
66,1.53,0
67,0.34,28
68,0.8,0
69,0.24,10
70,0.5,1
71,0.67,0
72,0.89,0
73,2.04,1
74,2.14,0
75,0.44,3
76,0.54,5
77,0.78,0
78,2.42,1
79,0.18,1
80,0.31,14
81,0.39,4
82,1.71,1
83,1.15,1
84,0.28,6
85,0.97,0
86,0.37,1
87,0.98,2
88,2.18,0
