,amount_signed
0,150.0
1,0.1
2,-0.430212
3,1.0
4,20.0
5,0.0001
6,110.0
7,10.0
8,0.01
9,0.01
10,-61.111265
11,0.01
12,-173.463987
13,-0.44298299999999996
14,0.01
15,0.0001
16,5450.0
17,0.024
18,-92.596649
19,-0.929958
20,1e-05
21,0.001
22,0.05
23,100.0
24,500.0
25,-39.850243
26,-16.321813
27,2.4999999999999998e-05
28,1e-05
29,712.0
30,4.5
31,0.1
32,8000.0
33,1e-05
34,35.0
35,670.0
36,-0.423747
37,2.0
38,50.0
39,0.01
40,1e-05
41,50.0
42,0.5
43,-245.859235
44,0.01
45,0.001
46,10.0
47,4.0
48,15.0
49,0.001
50,0.1
51,0.01
52,21000.0
53,0.01
54,0.01
55,0.15
56,1e-06
57,-0.452943
58,-0.941742
59,20.0
60,0.0001
61,1e-05
62,-26.013552
63,276.5
64,0.00032
65,0.001
66,10.0
67,0.0001
68,-136.318506
69,280.0
70,0.01
71,-5.19252
72,-1.9886300000000001
73,2000.0
74,1000.0
75,1e-06
76,0.03
77,0.13
78,0.001
79,10.0
80,0.05
81,5.0
82,0.2
83,1500.0
84,100.0
85,0.01
86,0.45
87,1.3
88,2990.0
89,0.01
90,0.4
91,1000.0
92,0.01
93,1000.0
94,55.0
95,1000.0
96,0.01
97,0.25
98,50.0
99,0.1
100,1e-05
101,0.01
102,-4958.413945
103,100.0
104,1e-05
105,1000.0
106,0.11
107,-0.948195
108,-0.973648
109,-45.149267
110,-37.179626
111,50.0
112,0.0001
113,3350.0
114,5.0
115,2.0
116,1e-05
117,150.0
118,1e-05
119,18050.0
120,6.25
121,-10.25008
122,0.01
123,2000.0
124,0.1
125,20.0
126,0.1
127,0.1
128,0.25
129,1e-05
130,0.0001
131,0.1
132,18.0
133,22.0
134,0.01
135,25.0
136,50.0
137,500.0
138,0.01
139,99.0
140,0.01
141,35.0
142,25.0
143,0.12
144,0.0001
145,2.0
146,100.0
147,1e-05
148,0.001
149,0.1
150,0.001
151,20.0
152,0.0001
153,0.001
154,0.01
155,66.371014
156,-1.9933679999999998
157,0.326
158,0.000101
159,0.05
160,-55.533914
161,-0.956429
162,-0.42633299999999996
163,0.1
164,0.02
165,1.1e-05
166,0.0001
167,8.0
168,15.0
169,0.0001
170,0.01
171,30.0
172,-1.980455
173,0.001
174,-18.397385
175,-5.574072
176,0.01
177,0.43
178,-0.45536699999999997
179,-0.961568
180,-0.953213
181,-4.932487
182,0.01
183,0.001
184,0.1
185,8.0
186,-0.81108
187,0.01
188,1000.0
189,0.01
190,0.01
191,-48.070447
192,5.0
193,47780.0
194,35.0
195,20.0
196,20.0
197,0.03
198,0.44
199,20.0
200,87.0
201,0.02
202,9.999998
203,1e-06
204,0.001
205,3500.0
206,0.01
207,-1638.149428
208,0.01
209,1e-05
210,1000.0
211,5.0
212,0.01
213,40.0
214,0.001
215,1.0
216,0.01
217,100.0
218,0.001
219,-198.008383
220,-153.841908
221,-0.927357
222,0.01
223,-0.44573799999999997
224,0.15
225,0.43
226,0.0001
227,0.0001
228,0.1
229,1000.0
230,0.0001
231,0.06
232,100.0
233,200.0
234,-280.89868
235,1e-05
236,0.001
237,0.1
238,100.0
239,1.0
240,10.0
241,10.0
242,10.0
243,15.0
244,55.0
245,400.0
246,-0.444795
247,-21.404224
248,18.0
249,45.0
250,70.0
251,0.01
252,1e-05
253,15.0
254,200.0
255,0.02
256,50.0
257,5.0
258,411.574879
259,14.587995
260,1077.0
261,8.572763
262,25.0
263,10.0
264,-0.424158
265,-0.630447
266,-0.452634
267,-0.445299
268,0.001
269,0.0001
270,0.112
271,100.0
272,-154.209989
273,23.0
274,3.0
