,Price,Amount,Action,Amount UST (M)
0,0.26,0.0M,Bought NEB,0.000784712358
1,0.27,nanM,Bought NEB,
2,0.28,0.0M,Bought NEB,0.000150195849
3,0.29,0.0M,Bought NEB,0.000154209989
4,0.30000000000000004,nanM,Bought NEB,
5,0.31,0.0M,Bought NEB,0.000708057664
6,0.32,nanM,Bought NEB,
7,0.33,nanM,Bought NEB,
8,0.34,0.0M,Bought NEB,0.000173299399
9,0.35000000000000003,0.0M,Bought NEB,3.9203941e-05
10,0.36,nanM,Bought NEB,
11,0.37,0.0M,Bought NEB,0.004522572827
12,0.38,nanM,Bought NEB,
13,0.39,0.0M,Bought NEB,0.000186708711
14,0.4,nanM,Bought NEB,
15,0.41000000000000003,0.0M,Bought NEB,0.000161718883
16,0.42,nanM,Bought NEB,
17,0.43,0.0M,Bought NEB,0.000323548402
18,0.44,nanM,Bought NEB,
19,0.45,nanM,Bought NEB,
20,0.47000000000000003,0.0M,Bought NEB,0.000191746125
21,0.48,0.0M,Bought NEB,0.000994577623
22,0.49,0.0M,Bought NEB,3.9612091e-05
23,0.5,0.03M,Bought NEB,0.026760454639999997
24,0.51,nanM,Bought NEB,
25,0.52,0.0M,Bought NEB,5.9959e-07
26,0.53,0.01M,Bought NEB,0.005204499041
27,0.54,0.0M,Bought NEB,1.6720263e-05
28,0.55,nanM,Bought NEB,
29,0.56,nanM,Bought NEB,
30,0.5700000000000001,0.0M,Bought NEB,4.8916957e-05
31,0.6000000000000001,nanM,Bought NEB,
32,0.61,nanM,Bought NEB,
33,0.62,nanM,Bought NEB,
34,0.67,nanM,Bought NEB,
35,0.7000000000000001,nanM,Bought NEB,
36,0.76,nanM,Bought NEB,
37,0.77,nanM,Bought NEB,
38,0.78,nanM,Bought NEB,
39,0.8,nanM,Bought NEB,
40,0.81,nanM,Bought NEB,
41,0.8300000000000001,0.0M,Bought NEB,1.5840838e-05
42,0.84,nanM,Bought NEB,
43,0.85,nanM,Bought NEB,
44,0.86,0.0M,Bought NEB,5.2572617e-05
45,0.89,nanM,Bought NEB,
46,0.91,nanM,Bought NEB,
47,0.92,nanM,Bought NEB,
48,0.9500000000000001,nanM,Bought NEB,
49,0.97,nanM,Bought NEB,
50,0.98,0.0M,Bought NEB,2.2753786e-05
51,0.99,nanM,Bought NEB,
52,1.03,0.0M,Bought NEB,3.6336698e-05
53,1.07,nanM,Bought NEB,
54,1.15,nanM,Bought NEB,
55,1.17,nanM,Bought NEB,
56,1.18,nanM,Bought NEB,
57,1.19,0.0M,Bought NEB,0.003034438456
58,1.2,nanM,Bought NEB,
59,1.3,0.0M,Bought NEB,5.574072e-06
60,1.33,nanM,Bought NEB,
61,1.35,nanM,Bought NEB,
62,1.37,nanM,Bought NEB,
63,1.52,0.0M,Bought NEB,0.000498594344
64,1.53,0.0M,Bought NEB,0.001785791262
65,1.6800000000000002,0.0M,Bought NEB,3.2187004e-05
66,1.69,0.0M,Bought NEB,0.000261591403
67,1.7000000000000002,0.0M,Bought NEB,0.000413408095
68,1.71,0.0M,Bought NEB,0.000236381511
69,1.72,0.0M,Bought NEB,0.001762543564
70,1.73,0.0M,Bought NEB,0.000447196969
71,1.74,0.0M,Bought NEB,1.9007042e-05
72,1.83,0.0M,Bought NEB,2.1860823e-05
73,1.92,0.0M,Bought NEB,1.922068e-06
74,1.96,0.0M,Bought NEB,3.8173677e-05
75,2.04,0.0M,Bought NEB,1.073573e-06
76,2.11,0.0M,Bought NEB,0.002409759037
77,2.14,nanM,Bought NEB,
78,2.18,nanM,Bought NEB,
79,2.42,0.0M,Bought NEB,2.7148895e-05
80,,nanM,Bought NEB,
0,0.26,0.0M,Sold NEB,0.0005369999999999999
1,0.27,0.01M,Sold NEB,0.009804
2,0.28,0.0M,Sold NEB,0.0008439999999999999
3,0.29,0.0M,Sold NEB,0.00017
4,0.30000000000000004,0.0M,Sold NEB,0.002754
5,0.31,0.0M,Sold NEB,2e-05
6,0.32,0.0M,Sold NEB,0.0005819999999999999
7,0.33,0.0M,Sold NEB,0.0006709999999999999
8,0.34,0.0M,Sold NEB,0.001343
9,0.35000000000000003,0.0M,Sold NEB,0.002152
10,0.36,0.0M,Sold NEB,0.000585
11,0.37,0.0M,Sold NEB,0.000232
12,0.38,0.02M,Sold NEB,0.020673999999999998
13,0.39,0.0M,Sold NEB,0.001041
14,0.4,0.0M,Sold NEB,0.00072
15,0.41000000000000003,0.0M,Sold NEB,0.003932
16,0.42,0.0M,Sold NEB,2.3e-05
17,0.43,0.01M,Sold NEB,0.005770000000000001
18,0.44,0.02M,Sold NEB,0.022005999999999998
19,0.45,0.0M,Sold NEB,7.2e-05
20,0.47000000000000003,0.0M,Sold NEB,9.499999999999999e-05
21,0.48,0.0M,Sold NEB,0.000196
22,0.49,0.0M,Sold NEB,0.00051
23,0.5,0.0M,Sold NEB,0.0
24,0.51,0.0M,Sold NEB,0.00013000000000000002
25,0.52,0.0M,Sold NEB,0.002348
26,0.53,0.1M,Sold NEB,0.101625
27,0.54,0.04M,Sold NEB,0.041461
28,0.55,0.01M,Sold NEB,0.014377
29,0.56,0.02M,Sold NEB,0.021
30,0.5700000000000001,0.0M,Sold NEB,5e-05
31,0.6000000000000001,0.0M,Sold NEB,0.0001
32,0.61,0.01M,Sold NEB,0.0051
33,0.62,0.0M,Sold NEB,2.4999999999999998e-05
34,0.67,0.0M,Sold NEB,5e-05
35,0.7000000000000001,0.01M,Sold NEB,0.005
36,0.76,0.0M,Sold NEB,1e-05
37,0.77,0.0M,Sold NEB,5e-05
38,0.78,0.06M,Sold NEB,0.061900000000000004
