,addr,amount
0,terra1c7m6j8ya58a2fkkptn8fgudx8sqjqvc8azq0ex,488105586577864
1,terra1fh27l8h4s0tfx9ykqxq5efq4xx88f06x6clwmr,300000000000100
2,terra1f68wt2ch3cx2g62dxtc8v68mkdh5wchdgdjwz7,90116063211966
3,terra1hncazf652xa0gpcwupxfj6k4kl4k4qg64yzjyf,77202968410460
4,terra1l7xu2rl3c7qmtx3r5sd2tz25glf6jh8ul7aag7,11445541712482
5,terra1627ldjvxatt54ydd3ns6xaxtd68a2vtyu7kakj,8186860911527
6,terra1dpe2aqykm2vnakcz4vgpha0agxnlkjvgfahhk7,7274358222875
7,terra12u7hcmpltazmmnq0fvyl225usn3fy6qqlp05w0,2579564870171
8,terra17k5vg2zhuusxw9ngjs3482neze43k6cs60a7wv,2000000000000
9,terra1p54hc4yy2ajg67j645dn73w3378j6k05v52cnk,1908331212508
10,terra1590axydgjqv7wzt0l3zd2c8l4947pq42f8vatj,1000000144914
11,terra1au9a6wutgqvlrafshe0830muvkcsutp0esq8za,950794277318
12,terra1wqwfwh797tf77e2xpvy9xx082pwpxxlm9x4xws,827196279217
13,terra1hk7fturdl9fnvrn566dxer6ds7v4jklp2wqmp7,708585081251
14,terra1w7v0p05657wcunzkut0wy0rat3flecyaeue357,456559503706
15,terra1tvld5k6pus2yh7pcu7xuwyjedn7mjxfkkkjjap,300925908046
16,terra1z2xxpmzlt6yf8synrm8eqye8tdu0sdhjxkqruh,216787584349
17,terra1s6qr4fmr23m5gspt6zrznamvp48junk5qfc4pa,200296125299
18,terra1r9zx9ar6us4wlr2k7xzshw4w6sdurzyzmhjuau,179406716058
19,terra12v9ltjgct6qsaw28j5m26z7ruprhxywkmjfspk,177644559083
20,terra1w8nc8ev0ylg97qnj080np4lnljngdvpd90ev63,170560248268
21,terra1dqvh6aynx6q0mxuatd3apderrx9uq4p9qf8rjt,130249769188
22,terra1rq7tccfk8vc3xcpwf8hqpj2avvkfye7j863td6,117475361200
23,terra1p7mmqtrjz0wdp0lryjrcl0mfx3e9kr8u6ma4p6,103225969977
24,terra1mrtvezrjrqhw7vh9m44kh5uecvt92y506m2yw7,102180302252
25,terra1g7uc4lp906vth64f0e57prgx9mz58lpn4465gq,101537363694
26,terra1959ud9g66pzf9p0tzhvwek0at9mc3x4j0z5urg,100669843842
27,terra17kw3y4302ak47400gkrhgdguj8j6cd48h2fq29,98554549958
28,terra1vqh3n58ln0xcfm8xa3fhttaz2gemqgrhqglm5s,83781197256
29,terra1g70nllnylv5fkhstqe6ku2qp6c4yjq7z3jphsa,67833411761
30,terra1cudc7eqhcn6gp32drajcq3tnu8clk0kdjzp39q,61117873737
31,terra1rw3y58vlh3rln7vv20wgk44z29ypaqj5swa93z,53285238906
32,terra13g7etz4uczwcprxdah0n6t0kq0tcthep9ntxzg,50999999900
33,terra1q4gu32p206snj7tst3kf40eh2tz09c9ve3mwmy,49668373529
34,terra16k7zwafj299q5axy0jps9z8vz88lrwczx7llmf,42551489105
35,terra17czwu6s6jrjh5vc4fulqpqrwpurdtraaksfqy2,40237494943
36,terra127cz9hnjs9dxjg2txceyt5fk5kwh7tvd06cw7m,39469753168
37,terra138jz60f7z59c2u90vxv0gf862trrqjqg25njjr,37967398884
38,terra17qqlglt6pql839cqdujz88vsmzrehmw6nl22vk,37661901941
39,terra1gjg3qeaz2k89ztle4pp5n6mjggm3w7vequntwx,37000437486
40,terra1ny9gg57a0s2tztsrdr3cvhzsttx2peg7nfn5v7,35155994672
41,terra1k745gen0xjvxrmxrw72u67lyyvwdu3dpvcjlc3,35044306534
42,terra1q73q9p3pgckkxlx025edc9memaq8lzc9xvy0np,34999999300
43,terra1mkul4ereqrzk2hath4pdfeezcqq64ze26d8l37,34775902953
44,terra1xpeldxwhrcxhnyf6dceahyz3vxrkwmp5fudez7,33438778839
45,terra1caqhemrzj805kygapla6kn5u2cd3gud72sfs39,30936090134
46,terra1cwk4s0jtvt69mawaqsay2a9h20cgqd9h5c2qgk,30000571792
47,terra1k2ahdetwst6nksfy85pyu9c0z29xapx0acflkg,29068745175
48,terra12zygxs9v44vz6v4f97dfrlrgqcus0686v3cg69,28087808160
49,terra1ap5fhwyewflgal707gs5gpyv4fqvjvszz223sw,26486955963
50,terra13uxnnxmt5tfnkmeteuf6w7y0sxpav0mfc5j8l3,24324939861
51,terra10gy9r2kqjnm6mwqksc74q36d9hx9z8h3hu2jm4,23962852438
52,terra1kyndl58gmxnz859j9wm5k85lwzqyhc9jqw3fk6,23399316026
53,terra1trmkgxqmd2pn94nczhx5mm7kw6jcmrpvuz00lv,23105150329
54,terra1e67hqlgsjavvdma3shewndsdwqwauc2zsx3aax,22625346639
55,terra1wvhsm94c7lzpvd9yelhldxep96lu9wqankqw72,21521683747
56,terra1hnt5atf0ekfa5fr9rxlepy8x6mfd7n86kyrjer,20915033833
57,terra1udtpl36sy7zs94pmq89hf3urzzwwhu4rksd94e,20590900000
58,terra1pufczag48fwqhsmekfullmyu02f93flvfc9a25,20221271788
59,terra177520jym4vnd6u8kg5xscnjymvrcutkump5mv6,20198333503
60,terra178uy0sr0mdke2qf4ztrj4sxvuefuexcnu2000k,20130521577
61,terra1062ptm9srusyh25qejkxcf36wy4m8nh0paf4y9,20045020774
62,terra15y79vesack8u7up533rrh80ata7272uv87vw8e,20000994373
63,terra18m7q828cja3ndkecugz8d5cdfa07rmkr4dfm20,19399642960
64,terra139f0tkap54m6tqvxefdxggy0hravshkeg9wkjt,19257398643
65,terra12cldnfrnq8250n4ae6p7y7gu4rn2c83te7ez46,18437807860
66,terra1p6tn3m7qld7030qj23uzhx3n5katt84wn97mcf,18383341619
67,terra1kcjuvv3eygj9f9h4zywtv3jcu8kna72vdz2kak,18169764769
68,terra1qweasagmfvgxdz8jjg2xk7llgftfuu7y9gv5hu,16974323749
69,terra18g6n39kyrf8mnzm8skkx3n7mtnduxczzxrl6kw,16868443085
